S1_Std,S1_Diff,S1_Waveform,S2_Std,S2_Diff,S2_Waveform,Label
3.1534742745105744,0,13,10.875311489791914,5,34,0
3.111526956335105,4,13,10.78163252944562,11,34,0
3.1259558538149577,3,13,10.9024951272633,14,34,0
3.1412736270500212,0,13,11.03682925481771,4,34,0
3.244996147917589,4,13,11.084565846256679,-1,34,0
3.258281755772512,-4,13,11.025080498572335,-8,34,0
3.258281755772512,-1,13,11.03586879226099,-10,34,0
3.320481892737861,-6,13,11.21465113144408,-12,34,0
3.2731636072766044,2,13,11.186134274180693,0,34,0
3.298545133843099,0,13,11.04854741583707,10,34,0
3.3087157629509365,1,13,11.071332349812284,12,34,0
3.322709737548555,4,13,11.157795481187133,6,34,0
3.387270287414335,3,13,11.180268333094693,1,34,0
3.3385026583784545,-2,13,11.059276649039937,-7,34,0
3.328723479053192,-2,13,11.026531639640817,-8,34,0
3.4267185469483756,-7,13,11.240800683225373,-14,34,0
3.4514344843847153,1,13,11.240800683225373,1,34,0
3.4075797862999484,2,13,11.05276436010467,9,34,0
3.384434960226004,3,13,11.047823315024548,12,34,0
3.4495796845412934,5,13,11.242490827214406,9,34,0
3.563200808262145,2,13,11.313726176640479,0,34,0
3.504283093587046,-5,13,11.23638731977498,-6,34,0
3.492620792470892,-2,13,11.193587449964378,-8,34,0
3.5123211698248786,-4,13,11.411590599035703,-17,34,0
3.7167727937015465,-6,17,11.411590599035703,-2,34,0
3.785709973043366,4,17,11.260550608207398,9,34,0
3.7236541192758508,6,17,11.191067866830224,10,34,0
3.7491865784460505,3,17,11.33541353458267,12,34,0
3.82099463490856,3,17,11.358802753811688,1,34,0
3.8618130457079345,-2,17,11.340705445429752,-4,34,0
3.820157064833852,-7,17,11.274466727965455,-8,34,0
3.8298302834459914,0,17,11.413255451447672,-15,34,0
3.8298302834459914,1,17,11.438199158958545,-2,34,0
3.8281065815883446,2,17,11.28583182578936,8,34,0
3.813082742349031,3,17,11.217201076917537,9,34,0
3.8103018253151557,-3,17,11.301769772916098,8,34,0
3.9114703117881398,8,18,11.39805246522405,6,35,0
3.826016204879432,-4,18,11.328618627176043,-4,35,0
3.8366652186501757,-2,18,11.281063779626457,-7,35,0
3.834005738128206,-2,18,11.33915340755208,-13,35,0
4.06270845619028,-10,18,11.496799554658677,-10,35,0
4.093946750997134,3,18,11.349731274351829,7,35,0
4.085339643163098,7,18,11.243771609206583,9,35,0
4.093116172306864,2,18,11.344090972836916,13,35,0
4.082352263095385,-2,18,11.344090972836916,0,35,0
4.0694471368970975,2,18,11.220712989823776,-2,35,0
4.046183386847414,-3,18,11.138563641690972,-7,35,0
4.049888887364689,-1,18,11.197928379838835,-11,35,0
4.067480792824964,-1,18,11.338941749563757,-6,35,0
4.020149250960715,1,18,11.1700492389246,2,34,0
3.966661064421816,3,18,10.993379826058954,12,34,0
4.029689814365371,4,18,11.107132843357912,13,34,0
4.108332995267061,1,18,11.171821695677034,2,34,0
4.120242711297479,-3,18,11.123380781039552,-1,34,0
4.054626986542659,0,18,10.974971526158962,-8,34,0
4.065710270051223,-6,18,10.960383204979653,-9,34,0
4.175212569438829,-4,18,11.269427669584648,-15,35,0
4.229657196511321,0,18,11.328830478032584,1,35,0
